               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.033218,            0.015916,            0.031026,             0.56942,             0.63766,             0.60777,             0.40297,            0.022913,           0.0050108,            0.013325,            0.007426,            0.007426,            0.007426
                  80,            0.032223,            0.015803,            0.030694,             0.67826,             0.66815,              0.7084,             0.53608,            0.018979,           0.0047418,            0.012826,            0.007393,            0.007393,            0.007393
                  81,            0.030708,            0.015433,            0.028724,             0.67401,             0.68845,             0.69768,             0.46072,             0.01972,           0.0049377,            0.011788,             0.00736,             0.00736,             0.00736
                  82,            0.031534,             0.01591,            0.030283,             0.54877,             0.66094,             0.57561,              0.3939,            0.019574,           0.0047786,            0.015114,            0.007327,            0.007327,            0.007327
                  83,            0.032797,            0.015727,            0.030949,             0.61065,             0.65886,             0.68173,              0.5045,            0.019112,           0.0045989,            0.011601,            0.007294,            0.007294,            0.007294
                  84,            0.032349,            0.015445,            0.030482,             0.68201,             0.61799,             0.68252,             0.45231,            0.019936,           0.0049112,             0.01377,            0.007261,            0.007261,            0.007261
                  85,            0.029702,            0.015091,             0.02999,             0.65105,             0.61955,             0.66184,              0.4798,             0.01986,           0.0046237,            0.011769,            0.007228,            0.007228,            0.007228
                  86,            0.031557,            0.014836,            0.029197,             0.61975,             0.70955,             0.68931,             0.52579,            0.018893,           0.0044764,            0.011968,            0.007195,            0.007195,            0.007195
                  87,             0.03164,            0.015064,            0.028705,             0.57781,             0.60428,             0.59759,              0.3711,            0.019789,           0.0048939,            0.013061,            0.007162,            0.007162,            0.007162
                  88,            0.030657,            0.015281,            0.029169,             0.47264,             0.37171,             0.35638,             0.23668,            0.024906,           0.0055547,            0.040006,            0.007129,            0.007129,            0.007129
                  89,            0.029758,            0.015405,            0.029996,             0.64369,             0.70486,             0.71384,             0.50975,              0.0188,           0.0044025,             0.01046,            0.007096,            0.007096,            0.007096
                  90,            0.030644,            0.014996,            0.030983,             0.71594,             0.70841,             0.72888,             0.53922,            0.017424,           0.0048147,           0.0097618,            0.007063,            0.007063,            0.007063
                  91,             0.03031,            0.015086,            0.028187,             0.69193,             0.68639,             0.74132,             0.53744,            0.017198,           0.0045381,            0.010729,             0.00703,             0.00703,             0.00703
                  92,            0.032572,             0.01502,            0.030324,             0.65547,             0.70366,             0.72076,             0.53781,            0.017117,           0.0045533,             0.01113,            0.006997,            0.006997,            0.006997
                  93,            0.029512,            0.014955,            0.028568,              0.6191,             0.72355,             0.67204,             0.48829,            0.018112,           0.0045706,            0.011437,            0.006964,            0.006964,            0.006964
                  94,            0.029832,            0.014402,            0.027825,             0.64249,             0.75653,             0.71817,              0.5261,            0.018359,           0.0043815,           0.0097714,            0.006931,            0.006931,            0.006931
                  95,            0.030472,            0.014454,            0.028115,             0.63825,             0.73528,             0.67855,             0.52665,            0.017758,           0.0042032,            0.011166,            0.006898,            0.006898,            0.006898
                  96,            0.030323,            0.013878,            0.030301,             0.74529,             0.78394,             0.79328,             0.58386,            0.017951,           0.0041959,           0.0097414,            0.006865,            0.006865,            0.006865
                  97,            0.030728,             0.01486,            0.028632,             0.66232,              0.6695,             0.69443,             0.50604,            0.018803,           0.0045491,            0.011195,            0.006832,            0.006832,            0.006832
                  98,            0.031119,            0.014394,            0.029039,             0.67646,             0.71465,             0.72636,              0.5385,            0.018379,           0.0043544,            0.008529,            0.006799,            0.006799,            0.006799
                  99,            0.030356,            0.014436,            0.028557,             0.71524,             0.72785,             0.74992,             0.55133,            0.019161,           0.0044582,            0.011495,            0.006766,            0.006766,            0.006766
                 100,            0.028945,            0.014011,            0.026977,             0.65889,              0.6946,             0.70892,             0.50404,            0.019677,           0.0043271,            0.010473,            0.006733,            0.006733,            0.006733
                 101,            0.028129,            0.014238,            0.027972,             0.70668,             0.76955,             0.75774,             0.55564,            0.018608,           0.0043456,           0.0094646,              0.0067,              0.0067,              0.0067
                 102,            0.030446,            0.014276,            0.027587,             0.61211,             0.72792,             0.67063,             0.51389,            0.017872,           0.0040902,            0.013184,            0.006667,            0.006667,            0.006667
                 103,            0.031059,            0.014743,            0.029176,             0.62239,             0.73507,             0.68943,             0.46295,            0.019493,           0.0049477,            0.010618,            0.006634,            0.006634,            0.006634
                 104,             0.02817,            0.014045,            0.027838,             0.55698,             0.62223,              0.5838,             0.39581,            0.021274,           0.0050084,             0.01544,            0.006601,            0.006601,            0.006601
                 105,            0.028146,            0.014308,            0.026747,             0.71406,             0.79576,              0.8027,              0.5793,            0.017702,           0.0043938,           0.0083514,            0.006568,            0.006568,            0.006568
                 106,            0.031161,            0.014052,            0.029211,             0.74221,             0.76929,             0.77435,             0.58312,             0.01877,           0.0040375,           0.0097124,            0.006535,            0.006535,            0.006535
                 107,            0.028335,            0.013389,            0.025991,             0.73915,             0.71419,             0.77263,             0.58068,            0.018231,           0.0042039,            0.007919,            0.006502,            0.006502,            0.006502
                 108,            0.028234,            0.013695,            0.025733,              0.7784,             0.59692,             0.67378,             0.51602,            0.019619,           0.0042765,            0.014012,            0.006469,            0.006469,            0.006469
                 109,            0.029233,            0.014129,             0.02698,             0.75227,             0.71032,             0.79329,             0.57605,            0.018827,           0.0039393,           0.0097022,            0.006436,            0.006436,            0.006436
                 110,            0.028601,            0.013901,            0.026836,             0.76308,             0.72476,             0.81566,             0.62928,            0.017242,           0.0040621,            0.009883,            0.006403,            0.006403,            0.006403
                 111,            0.028338,            0.013993,            0.027552,             0.87024,              0.6869,             0.84071,             0.64361,            0.017372,           0.0040864,           0.0093097,             0.00637,             0.00637,             0.00637
                 112,            0.029611,            0.014013,            0.026815,             0.80448,             0.67353,             0.77422,             0.60612,            0.017837,           0.0038766,           0.0086376,            0.006337,            0.006337,            0.006337
                 113,            0.028059,            0.013601,            0.026796,             0.72015,              0.6882,             0.76502,             0.55601,            0.017934,           0.0042313,           0.0080086,            0.006304,            0.006304,            0.006304
                 114,            0.027769,             0.01364,            0.026356,             0.73712,             0.78439,             0.78413,             0.61216,            0.017244,           0.0042232,           0.0087032,            0.006271,            0.006271,            0.006271
                 115,            0.028144,            0.013373,            0.025565,             0.74018,             0.76416,             0.76416,             0.58002,            0.017017,           0.0038818,           0.0084767,            0.006238,            0.006238,            0.006238
                 116,              0.0266,            0.013607,            0.027032,             0.72084,             0.66951,             0.74132,             0.57387,            0.017884,            0.004207,             0.01216,            0.006205,            0.006205,            0.006205
                 117,             0.02839,            0.013392,            0.025681,             0.80049,             0.69432,             0.79963,             0.59023,            0.019021,           0.0040856,           0.0096953,            0.006172,            0.006172,            0.006172
                 118,            0.028685,            0.013885,            0.027362,             0.84255,             0.75068,             0.85335,             0.64289,            0.018928,            0.003831,           0.0081556,            0.006139,            0.006139,            0.006139
                 119,            0.029481,            0.013167,            0.026227,             0.81323,             0.72967,             0.82923,             0.63915,            0.017461,           0.0037887,           0.0082799,            0.006106,            0.006106,            0.006106
                 120,            0.027565,            0.013517,            0.026473,             0.72048,             0.75605,             0.78672,             0.58828,            0.018482,           0.0044258,           0.0086246,            0.006073,            0.006073,            0.006073
                 121,            0.028573,            0.013196,            0.026022,             0.79755,             0.77851,             0.83464,             0.66708,            0.016035,           0.0038654,           0.0079548,             0.00604,             0.00604,             0.00604
                 122,            0.027092,            0.013391,            0.025414,             0.81215,             0.77162,             0.80535,             0.63341,            0.016229,           0.0036967,           0.0087878,            0.006007,            0.006007,            0.006007
                 123,            0.025551,            0.012833,            0.025825,             0.84371,             0.77469,             0.83248,             0.67012,            0.016373,           0.0036779,           0.0082406,            0.005974,            0.005974,            0.005974
                 124,            0.027039,            0.012752,            0.025179,             0.84191,             0.81161,              0.8512,             0.65577,            0.016496,           0.0038349,           0.0066463,            0.005941,            0.005941,            0.005941
                 125,            0.026901,            0.013295,            0.023715,             0.74178,             0.84143,             0.84323,             0.66539,            0.017497,           0.0035582,           0.0078226,            0.005908,            0.005908,            0.005908
                 126,            0.026001,            0.013021,            0.023952,              0.7281,             0.77978,             0.80706,              0.6339,            0.017148,           0.0037356,           0.0084202,            0.005875,            0.005875,            0.005875
                 127,            0.027981,            0.012902,            0.025096,             0.65406,             0.65835,             0.70854,             0.53126,            0.019951,           0.0045865,            0.012392,            0.005842,            0.005842,            0.005842
                 128,            0.025963,            0.012781,            0.022996,             0.86046,             0.80568,              0.8644,             0.66432,            0.018023,            0.003867,            0.006031,            0.005809,            0.005809,            0.005809
                 129,            0.027659,            0.012938,            0.024525,              0.7554,             0.81733,             0.83614,             0.65215,            0.016907,           0.0038836,           0.0070232,            0.005776,            0.005776,            0.005776
                 130,            0.025962,            0.012627,            0.022502,             0.83331,             0.67188,             0.78845,             0.62463,            0.019902,           0.0037924,             0.01151,            0.005743,            0.005743,            0.005743
                 131,            0.026726,            0.012489,            0.024393,             0.79416,             0.69558,             0.82293,             0.63362,             0.01772,           0.0039612,           0.0074232,             0.00571,             0.00571,             0.00571
                 132,            0.026889,            0.012843,             0.02358,             0.79541,              0.7593,             0.85379,             0.67561,            0.017717,           0.0035587,           0.0062516,            0.005677,            0.005677,            0.005677
                 133,            0.027076,            0.012696,            0.024036,              0.8589,             0.79467,              0.8845,             0.71474,            0.016477,           0.0037778,           0.0055451,            0.005644,            0.005644,            0.005644
                 134,            0.026982,             0.01315,            0.024279,             0.75006,             0.79521,             0.83473,             0.66714,            0.019072,           0.0036655,           0.0069805,            0.005611,            0.005611,            0.005611
